DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
08/31/2017,2:47,BROOKLYN,11206,40.69783,-73.93677,"(40.69783, -73.93677)",BROADWAY                        ,ARION PLACE,,0,1,0,0,0,0,0,1,Unsafe Speed,Unspecified,,,,3740806,SPORT UTILITY / STATION WAGON,MOTORCYCLE,,,
08/27/2017,18:50,,,40.839207,-73.82537,"(40.839207, -73.82537)",,,,3,1,0,0,0,0,3,1,Alcohol Involvement,Unspecified,Unspecified,,,3738548,SPORT UTILITY / STATION WAGON,,,,
08/27/2017,22:11,QUEENS,11101,40.755234,-73.941246,"(40.755234, -73.941246)",21 STREET                       ,40 AVENUE,,0,1,0,1,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,,3738569,SPORT UTILITY / STATION WAGON,,,,
08/25/2017,19:24,,,40.755444,-73.776375,"(40.755444, -73.776375)",,,,0,1,0,1,0,0,0,0,Unspecified,,,,,3737565,,,,,
08/24/2017,21:39,,,40.86536,-73.87043,"(40.86536, -73.87043)",ALLERTON AVENUE                 ,,,5,1,0,0,0,0,5,1,Unspecified,Unspecified,,,,3737452,TAXI,PASSENGER VEHICLE,,,
08/21/2017,14:27,BRONX,10475,40.885952,-73.8279,"(40.885952, -73.8279)",BOSTON ROAD                     ,PROVOST AVENUE,,0,1,0,0,0,0,0,1,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,3735037,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON
08/19/2017,1:56,,,40.832535,-73.85797,"(40.832535, -73.85797)",,,,1,1,0,0,0,0,1,1,Unsafe Speed,Other Vehicular,Other Vehicular,,,3733445,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
08/19/2017,20:31,QUEENS,11420,40.67054,-73.820885,"(40.67054, -73.820885)",LEFFERTS BOULEVARD              ,135 AVENUE,,0,1,0,0,0,0,0,1,Failure to Yield Right-of-Way,Unspecified,,,,3734747,MOTORCYCLE,PASSENGER VEHICLE,,,
08/16/2017,12:32,MANHATTAN,10013,40.718273,-74.00533,"(40.718273, -74.00533)",CHURCH STREET                   ,FRANKLIN STREET,,0,1,0,1,0,0,0,0,Driver Inattention/Distraction,,,,,3732511,,,,,
08/16/2017,14:16,,,40.812744,-73.937645,"(40.812744, -73.937645)",EAST 135 STREET                 ,,,0,1,0,1,0,0,0,0,Unspecified,,,,,3732516,SPORT UTILITY / STATION WAGON,,,,
08/14/2017,7:30,BROOKLYN,11218,40.643456,-73.972725,"(40.643456, -73.972725)",BEVERLEY ROAD                   ,EAST 7 STREET,,0,1,0,0,0,1,0,0,Unspecified,Unspecified,,,,3732510,BICYCLE,,,,
08/12/2017,11:59,,,40.700855,-73.86837,"(40.700855, -73.86837)",,,,0,1,0,0,0,0,0,1,Unsafe Speed,,,,,3729441,,,,,
08/10/2017,23:48,QUEENS,11691,40.596085,-73.76216,"(40.596085, -73.76216)",SEAGIRT BOULEVARD               ,BEACH 29 STREET,,0,1,0,1,0,0,0,0,Unspecified,,,,,3728617,PASSENGER VEHICLE,,,,
08/09/2017,10:44,BRONX,10466,40.89155,-73.86179,"(40.89155, -73.86179)",EAST 229 STREET                 ,CARPENTER AVENUE,,0,1,0,0,0,0,0,1,Driver Inattention/Distraction,Unspecified,,,,3727904,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
